1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-27,-39,-39,-52,-54,-56,-52,-45,-74,-49,-51,-60,-52,-55,-53,-51,-58,-57,-57,-56,-62
-27,-41,-39,-52,-58,-56,-52,-54,-55,-49,-50,-59,-52,-54,-54,-52,-58,-60,-58,-56,-67
-27,-42,-39,-52,-54,-56,-53,-43,-55,-49,-51,-59,-52,-53,-73,-51,-58,-57,-58,-56,-63
-27,-39,-38,-52,-60,-56,-51,-44,-55,-49,-50,-60,-52,-52,-53,-52,-58,-55,-57,-56,-64
-27,-40,-40,-55,-53,-49,-49,-45,-55,-49,-50,-59,-51,-53,-54,-52,-58,-56,-57,-56,-63
-26,-39,-39,-46,-53,-49,-52,-45,-55,-51,-51,-57,-51,-51,-73,-51,-58,-56,-57,-57,-63
-28,-41,-39,-51,-54,-49,-51,-48,-63,-49,-51,-58,-50,-52,-53,-52,-58,-55,-58,-59,-57
-26,-39,-39,-54,-53,-49,-49,-45,-63,-49,-51,-69,-49,-49,-53,-51,-57,-57,-58,-57,-56
-25,-38,-39,-53,-52,-49,-51,-45,-75,-49,-51,-58,-49,-50,-54,-51,-58,-56,-58,-57,-57
-27,-39,-39,-52,-53,-48,-52,-45,-62,-49,-50,-59,-49,-53,-55,-51,-57,-55,-58,-58,-57
-25,-38,-38,-51,-53,-49,-50,-44,-55,-49,-50,-61,-49,-52,-53,-52,-62,-55,-59,-57,-57
-27,-41,-39,-52,-54,-51,-50,-44,-55,-50,-51,-58,-49,-53,-54,-52,-59,-55,-60,-55,-68
-27,-38,-38,-48,-54,-49,-52,-44,-55,-51,-51,-57,-49,-52,-53,-52,-63,-56,-61,-55,-64
-26,-39,-40,-48,-54,-64,-73,-44,-55,-52,-51,-59,-49,-55,-53,-51,-62,-55,-62,-55,-57
-27,-38,-39,-49,-54,-48,-51,-45,-55,-52,-51,-59,-50,-55,-54,-52,-59,-54,-62,-56,-57
-26,-35,-38,-49,-53,-55,-50,-45,-59,-50,-51,-60,-50,-52,-54,-52,-62,-54,-61,-55,-57
-25,-34,-39,-48,-54,-61,-75,-45,-58,-57,-51,-54,-50,-55,-54,-52,-62,-53,-61,-56,-57
-25,-34,-39,-53,-55,-50,-49,-45,-56,-53,-51,-55,-48,-51,-54,-53,-64,-55,-63,-55,-57
-25,-40,-39,-49,-53,-49,-58,-45,-55,-52,-51,-55,-50,-52,-54,-53,-65,-56,-63,-55,-66
-25,-43,-38,-49,-54,-61,-54,-45,-53,-51,-51,-55,-49,-52,-71,-52,-62,-55,-57,-55,-64
-26,-40,-38,-50,-45,-49,-53,-44,-53,-51,-52,-55,-49,-50,-54,-54,-62,-56,-61,-55,-56
-27,-39,-38,-49,-46,-48,-52,-44,-53,-57,-51,-54,-49,-52,-55,-52,-75,-56,-61,-54,-56
-26,-40,-38,-50,-45,-49,-50,-44,-53,-52,-51,-54,-51,-51,-54,-53,-75,-55,-60,-54,-56
-27,-40,-38,-55,-45,-48,-53,-54,-53,-56,-50,-54,-51,-54,-54,-52,-71,-54,-63,-55,-56
-26,-35,-40,-53,-45,-48,-54,-44,-55,-49,-61,-54,-51,-54,-54,-51,-61,-59,-62,-54,-56
-26,-35,-39,-52,-53,-48,-53,-45,-55,-51,-52,-54,-51,-51,-54,-53,-63,-55,-61,-55,-56
-26,-36,-39,-52,-53,-48,-54,-45,-56,-52,-51,-60,-50,-52,-54,-51,-63,-55,-62,-57,-56
-26,-36,-38,-53,-53,-80,-54,-44,-55,-52,-51,-59,-49,-52,-55,-51,-61,-56,-61,-56,-56
-27,-36,-38,-52,-53,-48,-54,-45,-55,-52,-51,-61,-49,-53,-73,-51,-62,-54,-60,-54,-56
-26,-40,-39,-53,-53,-48,-50,-45,-55,-52,-51,-59,-49,-54,-54,-51,-61,-55,-56,-54,-64
-26,-40,-38,-56,-60,-47,-49,-44,-55,-52,-51,-60,-49,-54,-54,-51,-59,-56,-56,-60,-64
-26,-41,-39,-52,-54,-48,-52,-55,-56,-51,-51,-59,-49,-52,-55,-51,-58,-56,-56,-55,-64
-27,-40,-38,-52,-60,-48,-51,-44,-56,-51,-51,-59,-51,-52,-54,-51,-58,-55,-56,-57,-63
-25,-42,-39,-53,-53,-48,-50,-45,-56,-52,-51,-59,-51,-53,-54,-51,-58,-55,-56,-55,-63
-27,-42,-39,-53,-53,-48,-48,-45,-54,-52,-51,-59,-51,-52,-54,-51,-58,-55,-57,-53,-64
-26,-41,-40,-52,-53,-48,-54,-45,-55,-52,-51,-60,-51,-53,-54,-51,-59,-55,-57,-54,-65
-27,-40,-39,-53,-60,-48,-49,-56,-56,-52,-51,-60,-51,-53,-55,-52,-63,-56,-57,-53,-64
-26,-41,-40,-52,-53,-48,-54,-56,-56,-52,-51,-59,-51,-55,-54,-52,-63,-52,-57,-54,-63
-26,-39,-39,-51,-53,-48,-49,-57,-56,-52,-51,-59,-52,-53,-53,-52,-66,-56,-62,-53,-64
-26,-39,-39,-54,-53,-47,-51,-45,-56,-52,-60,-59,-52,-52,-53,-52,-63,-54,-63,-56,-65
-31,-40,-39,-53,-54,-48,-53,-57,-57,-52,-60,-55,-52,-53,-54,-52,-60,-55,-62,-57,-64
-27,-39,-38,-53,-53,-48,-55,-45,-57,-52,-60,-55,-52,-52,-53,-51,-62,-56,-60,-54,-65
-26,-39,-39,-53,-62,-47,-57,-56,-75,-52,-60,-58,-52,-51,-54,-52,-62,-56,-61,-55,-65
-27,-39,-39,-53,-53,-48,-52,-44,-57,-52,-51,-58,-52,-51,-53,-51,-62,-56,-60,-56,-65
-26,-40,-39,-53,-53,-48,-52,-44,-57,-52,-51,-54,-52,-51,-54,-52,-60,-55,-61,-54,-65
-26,-41,-39,-54,-53,-47,-53,-46,-76,-52,-51,-54,-53,-51,-55,-52,-73,-55,-63,-56,-63
-23,-40,-39,-53,-53,-48,-52,-45,-56,-52,-51,-55,-53,-53,-54,-52,-63,-55,-62,-55,-64
-23,-40,-39,-54,-53,-46,-53,-44,-57,-53,-52,-54,-55,-54,-54,-52,-64,-59,-61,-54,-63
